,Name,Age,#days,Lev,Date,Tm, ,Opp,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,GSc,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
98,Parker Mushinski,30,0,Maj-NL,"Aug 9, 2026",Colorado,@,St. Louis,1,0,,,,0.1,2,1,1,0,0,0,0,27.0,,3,1,0,0,0,0,0,0,0,3,7,0.57,0.14,0.0,0.33,0.33,0.0,6.0,0.667,0.0,,656786
99,Tommy Nance,35,0,Maj-AL,"Aug 9, 2026",Minnesota,@,Milwaukee,1,0,,,,1.0,1,0,0,0,1,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,11,0.82,0.27,0.18,0.33,0.33,0.0,1.0,0.333,9.0,,667297
100,Sean Newcomb,33,0,Maj-AL,"Aug 9, 2026",Chicago,,Cleveland,1,0,,,,1.1,1,0,0,1,2,0,0,0.0,,5,0,0,0,0,0,0,0,0,6,29,0.62,0.17,0.14,0.0,0.67,0.0,1.5,0.333,13.5,2.0,656794
101,Riley O\'Brien,31,0,Maj-NL,"Aug 9, 2026",St. Louis,,Colorado,1,0,,,1.0,1.0,0,0,0,0,0,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,8,0.63,0.13,0.0,0.33,0.67,0.0,0.0,0.0,0.0,,676617
102,Michael Petersen,32,0,Maj-NL,"Aug 9, 2026",Miami,,Los Angeles,1,0,1.0,,,1.0,0,0,0,1,2,0,0,0.0,,3,0,0,0,0,0,0,0,0,4,15,0.67,0.13,0.2,0.0,0.0,1.0,1.0,0.0,18.0,2.0,656848
103,Evan Phillips,31,0,Maj-NL,"Aug 9, 2026",Los Angeles,@,Arizona,1,0,,,,1.0,0,0,0,0,2,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,9,0.78,0.56,0.0,0.0,0.0,1.0,0.0,0.0,18.0,,623465
105,Cade Povich,26,0,Maj-AL,"Aug 9, 2026",Baltimore,@,Texas,1,1,,,,3.0,4,3,3,2,2,1,0,9.0,39,13,0,0,0,0,0,0,0,0,15,61,0.54,0.18,0.02,0.27,0.18,0.18,2.0,0.3,6.0,1.0,700249
106,Connor Prielipp,25,0,Maj-AL,"Aug 9, 2026",Minnesota,@,Milwaukee,1,1,,,,5.0,5,3,3,2,7,2,0,5.4,50,18,2,0,0,0,0,0,2,0,20,96,0.64,0.19,0.16,0.55,0.27,0.0,1.4,0.333,12.6,3.5,687570
107,Brooks Raley,38,0,Maj-NL,"Aug 9, 2026",Philadelphia,,Toronto,1,0,,,,1.0,0,0,0,0,0,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,6,0.83,0.17,0.17,0.33,0.67,0.0,0.0,0.0,0.0,,548384
108,Trevor Richards,33,0,Maj-AL,"Aug 9, 2026",Chicago,,Cleveland,1,0,,,1.0,1.0,0,1,1,2,0,0,0,9.0,,2,0,0,0,0,1,0,0,0,5,22,0.41,0.14,0.0,0.0,0.67,0.0,2.0,0.0,0.0,0.0,670950
109,Kumar Rocker,26,0,Maj-AL,"Aug 9, 2026",Texas,,Baltimore,1,1,,1.0,,3.0,7,6,6,2,5,2,0,18.0,24,16,2,1,0,0,0,0,0,0,18,69,0.58,0.16,0.1,0.27,0.36,0.09,3.0,0.556,15.0,2.5,677958
110,Bradgley Rodriguez,22,0,Maj-NL,"Aug 9, 2026",San Diego,,Houston,1,0,,,,2.0,0,0,0,0,1,0,0,0.0,,6,0,0,0,0,0,0,0,0,6,17,0.65,0.18,0.12,0.2,0.2,0.0,0.0,0.0,4.5,,699134
111,Eduardo Rodr\xc3\xadguez,33,0,Maj-NL,"Aug 9, 2026",Arizona,,Los Angeles,1,1,1.0,,,7.0,5,2,2,2,9,0,0,2.57,66,26,1,1,0,0,0,0,0,0,28,115,0.69,0.12,0.15,0.35,0.41,0.06,1.0,0.294,11.6,4.5,593958
112,Grayson Rodriguez,26,0,Maj-AL,"Aug 9, 2026",Los Angeles,@,Miami,1,1,,1.0,,4.0,4,4,3,4,8,0,0,6.75,44,16,0,1,0,0,0,0,0,0,20,83,0.57,0.13,0.18,0.75,0.25,0.0,2.0,0.5,18.0,2.0,680570
113,Tyler Rogers,35,0,Maj-AL,"Aug 9, 2026",Toronto,@,Philadelphia,1,0,,,,1.0,1,0,0,2,0,0,0,0.0,,4,0,0,1,0,0,0,0,0,6,13,0.62,0.23,0.08,0.5,0.0,0.25,3.0,0.25,0.0,0.0,643511
114,Josh Rojas,32,0,Maj-AL,"Aug 9, 2026",Kansas City,,Chicago,1,0,,,,1.0,1,0,0,0,0,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,13,0.54,0.08,0.0,0.25,0.25,0.0,1.0,0.25,0.0,,668942
115,Michael Rucker,32,0,Maj-AL,"Aug 9, 2026",Seattle,,Tampa Bay,1,0,,,,0.1,0,0,0,0,0,0,0,0.0,,1,0,0,0,0,0,0,0,0,1,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,621074
116,Erik Sabrowski,28,0,Maj-AL,"Aug 9, 2026",Cleveland,@,Chicago,1,0,,,,0.2,0,0,0,3,0,0,0,0.0,,2,0,0,0,0,0,0,0,0,5,19,0.37,0.11,0.0,0.0,0.0,0.5,4.5,0.0,0.0,0.0,681870
117,Cam Schlittler,25,0,Maj-AL,"Aug 9, 2026",New York,,Atlanta,1,1,,,,7.0,3,1,1,0,11,1,0,1.29,78,24,1,0,0,0,0,0,0,0,24,96,0.7,0.11,0.22,0.23,0.23,0.23,0.429,0.167,14.1,,693645
118,Ian Seymour,27,0,Maj-AL,"Aug 9, 2026",Tampa Bay,@,Seattle,1,1,1.0,,,6.0,5,1,1,2,7,0,0,1.5,63,23,0,1,0,1,0,0,0,0,25,98,0.66,0.15,0.14,0.56,0.13,0.19,1.167,0.313,10.5,3.5,693855
119,Brady Singer,29,0,Maj-NL,"Aug 9, 2026",Cincinnati,@,Washington,1,1,,1.0,,6.0,8,3,3,1,3,1,0,4.5,46,25,0,0,0,0,1,0,0,0,27,103,0.69,0.17,0.09,0.3,0.35,0.13,1.5,0.318,4.5,3.0,663903
120,Evan Sisk,29,0,Maj-NL,"Aug 9, 2026",Pittsburgh,,New York,1,0,,,,1.0,2,1,1,2,0,0,0,9.0,,4,1,0,0,1,0,0,0,0,6,24,0.46,0.17,0.08,0.5,0.5,0.0,4.0,0.5,0.0,0.0,681895
121,Cade Smith,27,0,Maj-AL,"Aug 9, 2026",Cleveland,@,Chicago,1,0,,,,1.0,0,0,0,0,1,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,12,0.67,0.17,0.17,0.5,0.0,0.0,0.0,0.0,9.0,,671922
122,Dylan Smith,26,0,Maj-NL,"Aug 9, 2026",San Francisco,,Detroit,1,0,,,,1.0,0,0,0,0,3,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,17,0.53,0.18,0.18,,,,0.0,,27.0,,681916
123,Hagen Smith,22,0,Maj-AL,"Aug 9, 2026",Chicago,,Cleveland,1,0,1.0,,,2.0,0,0,0,4,3,0,0,0.0,,6,0,0,0,0,0,0,0,0,10,48,0.52,0.15,0.13,0.33,0.33,0.33,2.0,0.0,13.5,0.75,696146
124,Drew Sommers,25,0,Maj-AL,"Aug 9, 2026",Detroit,@,San Francisco,1,0,,,,1.1,2,0,0,1,2,0,0,0.0,,5,0,0,0,1,0,0,0,0,6,23,0.61,0.13,0.09,0.67,0.33,0.0,2.25,0.667,13.5,2.0,805427
125,George Soriano,27,0,Maj-NL,"Aug 9, 2026",St. Louis,,Colorado,1,0,1.0,,,1.0,2,1,1,1,0,1,0,9.0,,5,0,0,0,0,0,0,0,0,6,21,0.57,0.14,0.05,0.2,0.2,0.2,3.0,0.25,0.0,0.0,666277
126,Gregory Soto,31,0,Maj-NL,"Aug 9, 2026",Pittsburgh,,New York,1,0,,,,1.0,2,1,1,0,1,0,0,9.0,,5,1,0,0,0,0,0,0,0,5,24,0.58,0.17,0.13,0.5,0.25,0.0,2.0,0.5,9.0,,642397
127,Albert Su\xc3\xa1rez,36,0,Maj-AL,"Aug 9, 2026",Baltimore,@,Texas,1,0,,,,2.0,1,2,2,1,1,0,0,9.0,,7,0,1,0,0,0,0,0,0,8,32,0.59,0.06,0.09,0.17,0.17,0.5,1.0,0.167,4.5,1.0,544150
128,Abner Uribe,26,0,Maj-NL,"Aug 9, 2026",Milwaukee,,Minnesota,1,0,,,,1.0,0,0,0,2,0,0,0,0.0,,4,0,0,0,0,0,1,0,0,6,33,0.48,0.15,0.03,0.75,0.0,0.0,2.0,0.0,0.0,0.0,682842
129,Randy V\xc3\xa1squez,27,0,Maj-NL,"Aug 9, 2026",San Diego,,Houston,1,1,1.0,,,5.0,2,2,2,0,1,1,0,3.6,56,17,0,0,0,0,0,0,0,0,17,62,0.66,0.19,0.03,0.63,0.13,0.06,0.4,0.067,1.8,,681190
131,Victor Vodnik,26,0,Maj-NL,"Aug 9, 2026",Miami,,Los Angeles,1,0,,,,1.0,0,0,0,0,2,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,13,0.77,0.23,0.23,0.0,0.0,0.0,0.0,0.0,18.0,,680767
132,Ryan Watson,28,0,Maj-AL,"Aug 9, 2026",Los Angeles,@,Miami,1,0,,,,1.0,2,1,0,0,0,0,0,0.0,,6,0,0,0,0,0,0,0,0,6,26,0.69,0.27,0.12,0.67,0.17,0.0,2.0,0.333,0.0,,670245
133,Logan Webb,29,0,Maj-NL,"Aug 9, 2026",San Francisco,,Detroit,1,1,,,,8.0,4,1,1,1,2,0,0,1.13,71,27,1,0,0,2,0,0,0,0,28,100,0.66,0.24,0.03,0.56,0.28,0.08,0.625,0.16,2.3,2.0,657277
134,Blake Weiman,30,0,Maj-AL,"Aug 9, 2026",Los Angeles,@,Miami,1,0,,,,1.0,0,0,0,0,2,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,17,0.76,0.24,0.24,0.0,0.0,1.0,0.0,0.0,18.0,,676620
135,Jack Weisenburger,28,0,Maj-NL,"Aug 9, 2026",New York,@,Pittsburgh,1,0,,,,2.0,1,0,0,0,2,0,0,0.0,,7,0,0,0,0,0,0,0,0,7,29,0.62,0.07,0.1,0.4,0.4,0.0,0.5,0.2,9.0,,674073
136,Garrett Whitlock,30,0,Maj-AL,"Aug 9, 2026",Boston,,Athletics,1,0,,,,1.0,2,1,1,0,3,0,0,9.0,,5,1,0,0,0,0,1,0,0,5,23,0.74,0.17,0.22,0.0,0.5,0.5,2.0,1.0,27.0,,676477
137,Trevor Williams,34,0,Maj-NL,"Aug 9, 2026",Washington,,Cincinnati,1,0,,,,2.1,1,0,0,0,2,0,0,0.0,,7,0,0,0,1,0,0,0,0,7,36,0.61,0.17,0.06,0.6,0.2,0.2,0.429,0.2,7.7,,592866
138,Cole Winn,26,0,Maj-AL,"Aug 9, 2026",Texas,,Baltimore,1,0,,,,2.0,2,1,1,3,3,0,0,4.5,,7,0,0,0,1,0,0,0,0,10,42,0.6,0.1,0.21,0.25,0.5,0.0,2.5,0.5,13.5,1.0,668390
139,Justin Wrobleski,25,0,Maj-NL,"Aug 9, 2026",Los Angeles,@,Arizona,1,1,,1.0,,3.1,6,4,3,3,3,1,0,8.1,34,16,2,0,0,0,0,0,0,0,20,76,0.59,0.16,0.05,0.5,0.29,0.0,2.7,0.417,8.1,1.0,680736
140,Kirby Yates,39,0,Maj-NL,"Aug 9, 2026",Pittsburgh,,New York,1,0,,,,1.0,2,1,1,1,0,1,0,9.0,,5,0,0,0,0,0,0,0,0,6,29,0.59,0.1,0.0,0.2,0.2,0.2,3.0,0.25,0.0,0.0,489446
141,Craig Yoho,26,0,Maj-AL,"Aug 9, 2026",Cleveland,@,Chicago,1,0,,1.0,,0.1,2,4,4,4,0,1,0,108.0,,3,1,0,0,0,0,0,0,0,7,31,0.35,0.06,0.1,0.67,0.0,0.0,18.0,0.5,0.0,0.0,684974
142,Ryan Zeferjahn,28,0,Maj-NL,"Aug 9, 2026",Chicago,@,Kansas City,1,0,,,,1.0,1,0,0,0,2,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,24,0.58,0.21,0.08,1.0,0.0,0.0,1.0,0.5,18.0,,666171
143,Tyler Zuber,31,0,Maj-NL,"Aug 9, 2026",Miami,,Los Angeles,1,0,,,,1.0,1,0,0,0,2,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,18,0.67,0.11,0.28,0.5,0.5,0.0,1.0,0.5,18.0,,676604
